"Material Incidents of Discrimination and/or Harrassment - New York City
2016-17",,,,,,,,** Schools Closed at the end of the school year will not be included in this file.,,,,,,,,,,,,
"This report is a summary of data submitted to NYSED by public and charter schools regarding material incidents of harassment, bullying and discrimination on school grounds or a school function as required by the Dignity for All Students Act.",,,,,,,,,,,,,,,,,,,,
County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Nature Of Material Incidents Of Discrimination And/Or Harassment,,,,,,,,,,,,
,,,,,,,,Race,"Ethnic
Group","National
Origin",Color,Religion,Religious Practice,Disability,Gender,Sexual Orientation,Sex,Weight,Other,Total
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 373 BROOKLYN TRANSITION CENTER,307500013373,Senior High,NEW YORK CITY,Public,377,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 396,307500013396,Elementary,NEW YORK CITY,Public,314,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 721 BROOKLYN OCCUP TRNING CTR,307500013721,Junior-Senior High,NEW YORK CITY,Public,504,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 753 SCHOOL FOR CAREER DVLPMNT,307500013753,Senior High,NEW YORK CITY,Public,217,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 771,307500013771,K-12,NEW YORK CITY,Public,441,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 811 CONNIE LEKAS SCHOOL,307500013811,Junior-Senior High,NEW YORK CITY,Public,347,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 4,307500014004,Elementary,NEW YORK CITY,Public,407,0,0,0,0,0,0,0,1,0,0,0,0,1
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 9,307500014009,Elementary,NEW YORK CITY,Public,639,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 23 AT QUEENS CHILDREN CTR,307500014023,K-12,NEW YORK CITY,Public,282,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,ROBERT E PEARY SCHOOL,307500014075,Elementary,NEW YORK CITY,Public,536,0,0,0,0,0,0,0,0,0,0,0,0,0
